N de inventario,N de intevención,fotografia,larvas,esqueletos,inciciones,tapones,link-fotografías,fecha finalizacion
2067,300,1,0.0,0.0,86.0,0.0,,2021-12-28
2067,349,1,0.0,0.0,87.0,1.0,vacio,2022-11-04
2168,423,1,0.0,0.0,9.0,0.0,vacio,2023-03-13
2168,221,1,0.0,0.0,9.0,0.0,,2021-11-11
2174,304,1,0.0,0.0,175.0,7.0,,2022-01-05
2174,374,1,3.0,6.0,192.0,2.0,vacio,2023-02-09
2175,200,1,0.0,1.0,3.0,0.0,,2021-08-19
2176,405,1,0.0,0.0,2.0,0.0,vacio,2023-03-08
2176,216,1,0.0,0.0,2.0,0.0,,2021-11-11
2213,305,1,0.0,0.0,1.0,0.0,,2022-02-08
2213,434,1,0.0,0.0,1.0,0.0,vacio,2023-03-13
2216,306,1,0.0,0.0,35.0,0.0,,2022-02-16
2216,432,1,0.0,0.0,35.0,0.0,vacio,2023-03-13
2219,433,1,0.0,0.0,4.0,0.0,vacio,2023-03-13
2219,303,1,0.0,0.0,4.0,0.0,,2022-01-05
2239,222,1,0.0,0.0,8.0,2.0,,2021-11-12
2239,412,1,0.0,0.0,9.0,2.0,vacio,2023-03-09
2247,424,1,0.0,0.0,16.0,0.0,vacio,2023-03-13
2247,301,1,0.0,1.0,16.0,0.0,,2021-12-30
2356,232,1,0.0,0.0,70.0,0.0,,2021-11-12
2356,420,1,0.0,0.0,70.0,0.0,vacio,2023-03-10
2463,288,1,,,,,,
2680,338,1,0.0,0.0,18.0,0.0,vacio,2022-11-24
2680,255,1,0.0,0.0,18.0,0.0,,2021-11-25
3429,317,1,0.0,0.0,277.0,,,2021-12-02
3429,354,1,5.0,4.0,285.0,5.0,vacio,2022-11-23
3431,282,1,0.0,0.0,2.0,0.0,,2021-12-09
3431,270,1,,,156.0,5.0,,2021-12-02
3431,366,1,3.0,5.0,159.0,1.0,vacio,2023-02-07
3432,262,1,0.0,0.0,47.0,1.0,,2021-11-30
3432,361,1,0.0,1.0,47.0,0.0,vacio,2023-02-03
3433,264,1,0.0,0.0,15.0,0.0,,2021-12-02
3433,363,1,3.0,2.0,22.0,1.0,vacio,2023-02-03
